trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.9753099120283326}",25,0,-142.65668648840176,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
2,False,"{'a': 0.05, 'e': 0.9512294245007139}",20,0,-91.89026863147302,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
3,False,"{'a': 0.05, 'e': 0.9277434863285529}",20,0,-137.9149973924082,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.05, 'e': 0.9048374180359595}",20,0,-125.70113942224512,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.05, 'e': 0.8824969025845953}",25,0,-80.45558307977215,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.05, 'e': 0.8607079764250578}",20,0,-118.65767829452531,"{0: 8, 1: 1, 2: 10, 3: 1, 4: 0}",0
7,False,"{'a': 0.05, 'e': 0.8394570207692074}",30,0,-165.50727699222273,"{0: 19, 1: 2, 2: 4, 3: 3, 4: 2}",0
8,False,"{'a': 0.05, 'e': 0.8187307530779818}",20,0,-112.62102777526148,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.05, 'e': 0.798516218759377}",25,0,-136.52955991048225,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.05, 'e': 0.7788007830714049}",20,3,-130.47554246707506,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 3}",1
11,False,"{'a': 0.05, 'e': 0.7595721232249685}",25,0,-110.59406887556761,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.05, 'e': 0.7408182206817179}",30,18,-32.07057179990508,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.05, 'e': 0.7225273536420722}",20,0,-84.3373669889845,"{0: 11, 1: 4, 2: 2, 3: 3, 4: 0}",0
14,False,"{'a': 0.05, 'e': 0.7046880897187134}",20,0,-63.33109598551861,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
15,False,"{'a': 0.05, 'e': 0.6872892787909722}",25,0,-231.79795685946112,"{0: 10, 1: 1, 2: 10, 3: 1, 4: 3}",0
16,False,"{'a': 0.05, 'e': 0.6703200460356393}",25,0,-121.27337259440552,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.05, 'e': 0.6537697851298473}",20,0,-117.39146126064216,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.05, 'e': 0.6376281516217732}",20,0,-117.35950932874263,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.05, 'e': 0.62188505646502}",20,0,-85.83250421887885,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.05, 'e': 0.6065306597126334}",30,0,-101.98023491279214,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
21,False,"{'a': 0.05, 'e': 0.5915553643668151}",25,0,-145.8302388295096,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
22,False,"{'a': 0.05, 'e': 0.5769498103804866}",25,0,-91.53200210200944,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.05, 'e': 0.5627048688069557}",30,4,-94.55729392303495,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 1}",1
