trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 1.0}",25,0,-60.83867839429018,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.4, 'e': 1.0}",30,0,-110.92305798691375,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.4, 'e': 1.0}",20,0,-140.86667306927558,"{0: 10, 1: 4, 2: 1, 3: 4, 4: 1}",0
4,False,"{'a': 0.4, 'e': 1.0}",30,0,-183.10555947924829,"{0: 15, 1: 8, 2: 2, 3: 3, 4: 2}",0
5,False,"{'a': 0.4, 'e': 1.0}",25,0,-160.36215546608437,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
6,False,"{'a': 0.4, 'e': 1.0}",30,19,-34.869647780318964,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 0.4, 'e': 1.0}",25,0,-276.09194586187954,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 5}",0
8,False,"{'a': 0.4, 'e': 1.0}",25,0,-138.47061374461327,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
9,False,"{'a': 0.4, 'e': 1.0}",25,0,-137.1386174661528,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
10,False,"{'a': 0.4, 'e': 1.0}",25,0,-117.08526634773875,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.4, 'e': 1.0}",20,0,-47.17954912577599,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.4, 'e': 1.0}",25,0,-163.72574810046373,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
13,False,"{'a': 0.4, 'e': 1.0}",25,0,-99.30425206690678,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.4, 'e': 1.0}",20,0,-68.90028797691313,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.4, 'e': 1.0}",25,0,-65.94542478607254,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.4, 'e': 1.0}",25,0,-89.07471066153582,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.4, 'e': 1.0}",20,16,7.6356582241873205,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.4, 'e': 1.0}",20,0,-70.80821756156392,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.4, 'e': 1.0}",30,0,-156.14684948923457,"{0: 18, 1: 1, 2: 9, 3: 0, 4: 2}",1
20,False,"{'a': 0.4, 'e': 1.0}",20,0,-88.11987170768776,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
21,False,"{'a': 0.4, 'e': 1.0}",25,0,-74.34545787875349,"{0: 18, 1: 1, 2: 3, 3: 3, 4: 0}",0
22,False,"{'a': 0.4, 'e': 1.0}",20,0,-86.72047316706531,"{0: 11, 1: 6, 2: 1, 3: 1, 4: 1}",0
23,False,"{'a': 0.4, 'e': 1.0}",30,0,-110.99255023698288,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
24,False,"{'a': 0.4, 'e': 1.0}",25,0,-157.85939994691455,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
25,False,"{'a': 0.4, 'e': 1.0}",20,0,-50.24396571258751,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
26,False,"{'a': 0.4, 'e': 1.0}",20,0,-73.1679916870649,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
27,False,"{'a': 0.4, 'e': 1.0}",20,0,-110.42594620685463,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
28,False,"{'a': 0.4, 'e': 1.0}",30,18,-78.81897303272535,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 1}",1
29,False,"{'a': 0.4, 'e': 1.0}",20,12,-33.472756960412845,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
30,False,"{'a': 0.4, 'e': 1.0}",25,0,-76.85213250623056,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
31,False,"{'a': 0.4, 'e': 1.0}",20,0,-58.688498398658105,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
32,False,"{'a': 0.4, 'e': 1.0}",20,0,-230.46499206031257,"{0: 6, 1: 5, 2: 5, 3: 0, 4: 4}",0
33,False,"{'a': 0.4, 'e': 1.0}",20,0,-63.19260090338254,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
34,False,"{'a': 0.4, 'e': 1.0}",25,0,-166.069134051324,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
35,False,"{'a': 0.4, 'e': 1.0}",25,0,-43.258457861858425,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
36,False,"{'a': 0.4, 'e': 1.0}",30,0,-232.30131021054055,"{0: 18, 1: 0, 2: 7, 3: 1, 4: 4}",0
37,False,"{'a': 0.4, 'e': 1.0}",30,0,-191.17677153345204,"{0: 17, 1: 0, 2: 9, 3: 2, 4: 2}",0
38,False,"{'a': 0.4, 'e': 1.0}",30,0,-167.6824810632904,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
39,False,"{'a': 0.4, 'e': 1.0}",20,0,-54.08224888248442,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
40,False,"{'a': 0.4, 'e': 1.0}",20,0,-88.17583892441101,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
41,False,"{'a': 0.4, 'e': 1.0}",25,0,-164.11237282767618,"{0: 10, 1: 3, 2: 8, 3: 4, 4: 0}",0
42,False,"{'a': 0.4, 'e': 1.0}",20,0,-108.32481955484819,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.4, 'e': 1.0}",25,0,-123.75185029495928,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
44,False,"{'a': 0.4, 'e': 1.0}",20,0,-41.376119091663504,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
45,False,"{'a': 0.4, 'e': 1.0}",20,16,7.3874882382196425,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.4, 'e': 1.0}",35,0,-250.68188879975696,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 5}",0
47,False,"{'a': 0.4, 'e': 1.0}",25,0,-198.32691897726653,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
48,False,"{'a': 0.4, 'e': 1.0}",20,0,-92.05323781866424,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
49,False,"{'a': 0.4, 'e': 1.0}",20,0,-160.00378489473957,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 3}",0
50,False,"{'a': 0.4, 'e': 1.0}",30,0,-248.02783745088675,"{0: 16, 1: 2, 2: 6, 3: 2, 4: 4}",0
51,False,"{'a': 0.4, 'e': 1.0}",20,0,-176.006945016703,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
52,False,"{'a': 0.4, 'e': 1.0}",20,0,-108.20239797751417,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
53,False,"{'a': 0.4, 'e': 1.0}",25,0,-290.1790694786117,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 5}",0
54,False,"{'a': 0.4, 'e': 1.0}",20,0,-128.21266182208913,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
55,False,"{'a': 0.4, 'e': 1.0}",30,0,-148.56827599631447,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
56,False,"{'a': 0.4, 'e': 1.0}",20,0,-2.0697834585337356,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
57,False,"{'a': 0.4, 'e': 1.0}",20,0,-84.71675556235435,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
58,False,"{'a': 0.4, 'e': 1.0}",30,0,-194.88362679083477,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
