trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.9753099120283326}",25,0,-132.18090286847334,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
2,False,"{'a': 0.05, 'e': 0.9512294245007139}",30,0,-149.87893642822445,"{0: 16, 1: 5, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.05, 'e': 0.9277434863285529}",20,0,-115.1709500138275,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.05, 'e': 0.9048374180359595}",25,0,-255.90550913035128,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 5}",0
5,False,"{'a': 0.05, 'e': 0.8824969025845953}",25,0,-203.2538742258132,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
6,False,"{'a': 0.05, 'e': 0.8607079764250578}",20,0,-47.687352046204595,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.05, 'e': 0.8394570207692074}",25,7,-97.4666017104885,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
8,False,"{'a': 0.05, 'e': 0.8187307530779818}",20,4,14.138223849020026,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.05, 'e': 0.798516218759377}",25,0,-151.00733567215744,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
10,False,"{'a': 0.05, 'e': 0.7788007830714049}",30,23,11.388765187508945,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.05, 'e': 0.7595721232249685}",25,0,-45.19459445178631,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.05, 'e': 0.7408182206817179}",35,15,-112.66809282330802,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",1
13,False,"{'a': 0.05, 'e': 0.7225273536420722}",30,0,-185.4594804863082,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
14,False,"{'a': 0.05, 'e': 0.7046880897187134}",30,8,-17.073163513482594,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 0}",1
15,False,"{'a': 0.05, 'e': 0.6872892787909722}",25,0,-43.12511460685114,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",1
16,False,"{'a': 0.05, 'e': 0.6703200460356393}",25,7,-29.44943339792963,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
17,False,"{'a': 0.05, 'e': 0.6537697851298473}",20,0,-111.7154317434834,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",1
18,False,"{'a': 0.05, 'e': 0.6376281516217732}",25,0,-151.8342104699219,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.05, 'e': 0.62188505646502}",20,0,-17.16095792545025,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.05, 'e': 0.6065306597126334}",25,0,-27.54578450806216,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
21,False,"{'a': 0.05, 'e': 0.5915553643668151}",25,0,-67.61429158868425,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.05, 'e': 0.5769498103804866}",20,0,-33.022301952116734,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
23,False,"{'a': 0.05, 'e': 0.5627048688069557}",30,3,-84.85508071227397,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 2}",1
24,False,"{'a': 0.05, 'e': 0.5488116360940264}",20,4,10.268804752633455,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.05, 'e': 0.5352614285189903}",25,2,17.043000680420857,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.05, 'e': 0.522045776761016}",25,0,-63.148737859832615,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
27,False,"{'a': 0.05, 'e': 0.5091564206075491}",35,25,5.971498686264997,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
