trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9048374180359595}",35,0,-207.60404601720128,"{0: 20, 1: 3, 2: 8, 3: 1, 4: 3}",0
2,False,"{'a': 0.1, 'e': 0.8187307530779818}",20,0,-89.71838166024403,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.7408182206817179}",20,0,-33.672944798566775,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.6703200460356393}",20,0,-111.04263101088992,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.6065306597126334}",25,0,-82.10031314153522,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.5488116360940264}",25,0,-148.37363945018419,"{0: 12, 1: 1, 2: 10, 3: 1, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.49658530379140947}",20,0,-150.5688338904176,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.1, 'e': 0.44932896411722156}",20,0,-85.44201376576109,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.4065696597405991}",25,0,-141.37893273632008,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.1, 'e': 0.36787944117144233}",20,0,-122.44434995794923,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
11,False,"{'a': 0.1, 'e': 0.33287108369807955}",20,0,-108.88338048520045,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.301194211912202}",30,16,-20.7587578415438,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.1, 'e': 0.2725317930340126}",30,0,-118.64831775357271,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.24659696394160643}",20,0,-137.3703850392304,"{0: 13, 1: 1, 2: 1, 3: 3, 4: 2}",0
15,False,"{'a': 0.1, 'e': 0.22313016014842982}",20,0,-13.104354850700698,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.1, 'e': 0.20189651799465538}",25,0,-103.0694043207329,"{0: 16, 1: 3, 2: 2, 3: 4, 4: 0}",0
17,False,"{'a': 0.1, 'e': 0.1826835240527346}",20,0,-96.64656114350471,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.1, 'e': 0.16529888822158653}",30,0,-229.7174757685308,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 4}",0
19,False,"{'a': 0.1, 'e': 0.14956861922263504}",20,0,-120.77345557843107,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.1, 'e': 0.1353352832366127}",35,25,10.317521310977831,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,4,-173.95936536432515,"{0: 8, 1: 5, 2: 4, 3: 2, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",30,0,-203.86806809081486,"{0: 16, 1: 3, 2: 6, 3: 3, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-94.4965991437512,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-123.84856214391834,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-63.25215552730052,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-106.59739415157571,"{0: 19, 1: 6, 2: 2, 3: 2, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-93.44809021870265,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-215.55729489112255,"{0: 6, 1: 3, 2: 7, 3: 1, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",30,0,-73.8454791463339,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-194.3565880307552,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
